사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-08,2호선,35,방배,5,0,"2,564","3,398","8,584","11,813","19,694","24,613","27,149","62,393","21,999","36,710","15,017","18,649","15,036","14,984","17,302","16,279","18,535","17,674","18,131","17,192","20,303","16,971","24,618","18,289","34,460","23,661","58,621","32,849","24,521","24,506","16,623","15,462","16,782","14,232","14,564","14,406","4,630","8,124",2,95,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,36,사당,79,1,"12,374","3,660","22,711","25,700","64,235","36,733","84,420","56,231","61,175","40,792","37,551","33,442","34,108","36,908","39,281","39,059","41,387","41,392","40,985","41,273","41,718","48,720","45,836","63,016","59,098","88,673","80,255","132,594","54,067","97,540","45,400","57,890","49,199","51,036","47,924","48,024","22,780","30,565",22,"2,978",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,37,낙성대(강감찬),42,1,"11,053","1,858","23,579","8,303","69,400","16,505","107,594","32,059","70,597","28,312","36,238","21,550","31,040","20,144","32,980","21,618","32,996","24,563","28,790","26,040","29,820","30,161","31,677","34,883","37,641","49,769","42,850","87,383","26,696","76,258","19,011","47,780","18,359","43,424","14,653","42,900","5,990","24,640",8,"2,297",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,38,서울대입구(관악구청),"3,664",38,"26,543","2,458","39,104","12,793","110,774","25,402","161,302","55,098","106,258","53,511","58,133","40,784","50,668","39,370","55,453","44,369","56,388","49,790","52,272","50,432","54,380","57,410","60,797","65,359","68,227","88,777","79,951","151,289","50,414","129,605","41,543","78,124","41,242","70,440","38,355","67,757","15,556","41,626",5,"13,174",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,39,봉천,58,1,"14,185","1,501","25,969","6,626","70,714","11,141","104,733","22,648","64,292","19,105","33,118","17,176","27,000","18,241","28,254","19,545","28,414","21,493","24,820","23,785","25,295","30,112","25,664","32,544","27,353","46,069","30,374","77,051","18,782","64,348","14,378","41,038","13,101","36,547","10,705","33,115","3,759","20,618",2,371,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,40,신림,278,28,"37,363","4,669","70,140","19,934","181,129","30,180","267,699","53,683","161,806","48,336","86,414","39,062","69,858","41,121","74,184","46,819","70,344","54,787","65,044","60,174","62,387","75,826","68,836","88,069","73,974","123,161","79,342","220,882","55,177","194,006","45,739","122,676","43,376","113,005","37,861","102,015","16,758","71,844",9,461,1,1,1,1,0,0,2020-09-03 12:26:43
2020-08,2호선,41,신대방,149,2,"23,151","2,321","32,406","9,103","77,365","15,969","113,524","28,944","69,282","19,298","37,996","15,666","29,467","16,517","29,805","19,428","27,844","21,421","24,924","23,886","24,041","32,139","26,938","36,254","30,585","51,993","37,272","83,237","22,139","70,430","15,986","47,089","12,098","50,258","9,397","46,115","4,002","28,719",6,109,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,42,구로디지털단지,259,7,"35,580","6,658","47,349","22,778","120,583","71,259","157,584","222,367","101,090","132,050","57,020","52,425","49,034","41,386","53,728","41,926","54,799","48,629","50,327","49,398","52,695","56,917","63,907","62,911","111,514","91,436","199,728","142,828","102,245","116,192","57,627","72,833","46,360","72,099","35,928","66,976","13,672","41,564",3,81,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,43,대림(구로구청),706,13,"30,348","3,446","26,527","10,737","57,620","20,569","83,660","51,351","56,334","34,394","31,409","27,608","26,372","26,871","28,065","26,079","27,952","26,727","25,792","27,345","26,929","33,496","29,663","36,371","38,549","52,118","50,870","65,035","27,625","48,156","18,616","33,711","14,550","44,169","10,748","40,856","4,807","19,421",7,640,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,44,신도림,"3,194",27,"32,314","4,755","43,734","16,400","112,041","36,541","115,940","99,140","73,757","61,306","48,653","55,706","48,409","51,129","54,785","54,091","57,373","57,365","55,802","54,711","59,228","60,451","66,239","67,615","85,784","88,908","116,075","145,229","70,013","111,638","56,107","64,706","56,253","57,050","39,388","55,416","16,873","39,797",38,"11,575",2,1,1,1,0,0,2020-09-03 12:26:43
